ExciseTaxNbr,Month,Day,Year,SalePrice,PropertyType,PropertyClass,PrincipalUse,SaleInstrument,SaleReason,AFHistoricProperty
2199628,4,10,2006,0,3,8,6,15,10,False
2528886,12,1,2011,0,4,9,6,15,8,False
2136410,6,28,2005,68000,3,3,2,3,1,False
2309580,8,29,2007,425000,3,8,6,3,1,False
2529866,8,19,2011,0,3,3,2,2,4,False
1501341,4,25,1996,0,4,9,6,15,18,False
1877227,2,23,2002,0,1,7,6,15,5,False
1133726,2,7,1990,21,1,2,0,2,18,False
2727666,4,29,2015,0,1,8,6,15,1,False
2745507,7,17,2015,380000,3,8,6,3,1,False
1993836,10,2,2003,0,3,8,6,15,5,False
731700,7,14,1983,0,3,8,0,15,9,False
1663819,12,2,1986,0,3,8,6,3,16,False
1303031,4,13,1993,96000,4,9,0,2,1,False
2482546,3,4,2011,463000,3,8,6,3,1,False
2716757,2,11,2015,155000,1,7,6,3,1,False
2716757,2,11,2015,155000,1,7,6,3,1,False
1815918,4,24,2001,322000,3,3,2,3,1,False
1846627,10,12,2001,0,3,8,6,15,18,False
2217175,6,20,2006,395000,3,3,2,3,1,False
2301926,7,29,2007,625000,3,8,6,3,1,False
2389859,4,30,2009,0,3,8,6,15,13,False
3089967,12,17,2020,360000,14,3,2,3,1,False
2979515,12,3,2018,0,3,8,6,3,16,False
1209609,9,9,1991,0,3,3,0,15,18,False
2156860,9,20,2005,540000,3,8,6,3,1,False
1423248,3,31,1995,0,3,8,6,2,18,False
1934421,1,13,2003,420000,1,7,6,3,1,False
1934421,1,13,2003,420000,1,7,6,3,1,False
1934421,1,13,2003,420000,1,7,6,3,1,False
1934421,1,13,2003,420000,1,7,6,3,1,False
1934421,1,13,2003,420000,1,7,6,3,1,False
2754696,9,1,2015,0,3,8,6,15,13,False
1528244,2,12,1997,141000,3,8,6,3,1,False
2743374,7,10,2015,269950,3,8,6,3,1,False
2917768,2,26,2018,850000,3,8,6,3,1,False
1854048,11,21,2001,0,3,8,6,15,13,False
1386884,2,4,1994,0,1,7,0,2,16,False
1861106,12,31,2001,325000,3,8,6,3,1,False
2669471,5,21,2014,0,3,8,6,15,10,False
1830295,7,3,2001,7550000,0,2,11,3,1,False
1830295,7,3,2001,7550000,0,2,11,3,1,False
1339186,10,22,1993,73950,3,3,0,2,1,False
2690806,8,25,2014,1312000,3,8,6,3,1,False
1399183,10,3,1994,0,1,8,0,2,18,False
1399183,10,3,1994,0,1,8,0,2,18,False
1399183,10,3,1994,0,1,8,0,2,18,False
2940364,7,6,2018,5500000,3,7,6,3,18,False
2940364,7,6,2018,5500000,3,7,6,3,18,False
2940364,7,6,2018,5500000,3,7,6,3,18,False
